Date,Close/Last,Volume,Open,High,Low
07/25/2025,$71.99,2571713,$71.94,$72.195,$71.48
07/24/2025,$72.38,4769028,$72.06,$72.76,$71.92
07/23/2025,$72.76,4757227,$71.82,$72.83,$71.75
07/22/2025,$71.15,4167670,$70.57,$71.32,$70.53
07/21/2025,$70.32,3366709,$70.72,$70.81,$70.28
07/18/2025,$70.28,5241005,$71.22,$71.335,$70.055
07/17/2025,$70.34,3733843,$70.075,$70.575,$70.00
07/16/2025,$70.67,4132461,$70.52,$70.96,$70.015
07/15/2025,$70.40,3618629,$70.80,$71.02,$70.225
07/14/2025,$71.10,4542167,$71.94,$72.02,$70.98
07/11/2025,$72.30,4603726,$71.88,$72.555,$71.715
07/10/2025,$72.30,3638972,$71.62,$72.355,$71.32
07/09/2025,$71.73,4346735,$71.85,$71.96,$71.31
07/08/2025,$71.26,3807577,$69.92,$71.455,$69.92
07/07/2025,$69.82,5092511,$69.96,$70.655,$69.215
07/03/2025,$71.92,2413800,$72.00,$72.20,$71.72
07/02/2025,$72.28,3597121,$71.53,$72.395,$71.005
07/01/2025,$71.19,3643017,$70.68,$71.40,$70.305
06/30/2025,$70.41,3423706,$70.38,$70.66,$70.065
06/27/2025,$70.98,3580060,$71.19,$71.345,$70.71
06/26/2025,$70.99,5080697,$70.985,$71.2834,$70.45
06/25/2025,$69.44,24488620,$70.09,$70.305,$67.25
06/24/2025,$70.14,6591157,$70.52,$71.145,$69.91
06/23/2025,$70.84,7753101,$72.67,$73.16,$70.805
06/20/2025,$72.40,6469860,$72.56,$72.95,$72.23
06/18/2025,$72.00,4224458,$72.195,$72.65,$71.79
06/17/2025,$72.33,4071060,$72.495,$72.66,$72.07
06/16/2025,$71.43,5708857,$72.42,$72.72,$71.391
06/13/2025,$72.54,5922646,$72.33,$72.57,$71.40
06/12/2025,$71.44,3231367,$71.23,$71.53,$70.90
06/11/2025,$71.02,3906015,$70.34,$71.06,$69.99
06/10/2025,$70.05,4595217,$69.94,$70.425,$69.845
06/09/2025,$68.26,2908913,$67.81,$68.57,$67.385
06/06/2025,$68.02,2795023,$67.69,$68.22,$67.69
06/05/2025,$67.53,3284356,$68.10,$68.10,$67.38
06/04/2025,$67.27,4117510,$67.99,$68.305,$67.095
06/03/2025,$67.83,3432185,$67.60,$68.195,$67.16
06/02/2025,$67.45,3634385,$67.40,$67.495,$66.82
05/30/2025,$66.22,3432207,$66.56,$66.58,$65.96
05/29/2025,$66.44,3492256,$66.41,$66.50,$66.07
05/28/2025,$66.04,3057082,$66.62,$66.705,$65.94
05/27/2025,$66.69,2774978,$66.71,$66.78,$66.37
05/23/2025,$66.30,3064764,$65.55,$66.30,$65.38
05/22/2025,$65.95,3484752,$65.93,$66.235,$65.40
05/21/2025,$66.36,3101958,$67.18,$67.20,$66.345
05/20/2025,$66.62,2523059,$66.65,$66.915,$66.485
05/19/2025,$66.67,2752064,$66.46,$66.67,$65.93
05/16/2025,$66.62,2625611,$67.05,$67.1408,$66.37
05/15/2025,$67.39,2670456,$66.70,$67.44,$66.31
05/14/2025,$67.09,3339258,$67.31,$67.54,$66.93
05/13/2025,$67.61,3697647,$66.76,$67.87,$66.55
05/12/2025,$66.38,5277867,$66.68,$67.09,$66.14
05/09/2025,$66.15,4584444,$65.88,$66.17,$65.5002
05/08/2025,$65.08,3656209,$64.97,$65.54,$64.89
05/07/2025,$65.05,3616908,$65.40,$65.46,$64.81
05/06/2025,$65.10,3867828,$65.95,$66.15,$65.065
05/05/2025,$65.12,4346845,$65.70,$65.705,$64.97
05/02/2025,$66.64,6608961,$67.12,$67.16,$65.86
05/01/2025,$64.80,3931960,$64.52,$65.35,$64.31
04/30/2025,$64.48,4663505,$65.31,$65.32,$64.02
04/29/2025,$65.51,2991794,$65.32,$65.905,$65.26
04/28/2025,$66.02,3709483,$65.82,$66.28,$65.76
04/25/2025,$65.86,3601469,$65.30,$65.99,$65.15
04/24/2025,$65.05,5482284,$65.14,$65.25,$64.60
04/23/2025,$64.51,5767795,$66.11,$66.11,$64.34
04/22/2025,$65.17,5567277,$65.39,$65.745,$64.865
04/21/2025,$64.65,4498725,$64.67,$64.74,$63.88
04/17/2025,$65.04,4512623,$64.37,$65.66,$64.31
04/16/2025,$64.03,6013438,$64.02,$64.905,$63.77
04/15/2025,$62.78,4072956,$62.82,$63.43,$62.58
04/14/2025,$62.54,4860450,$62.765,$62.82,$61.845
04/11/2025,$62.09,8669771,$60.97,$62.45,$60.32
04/10/2025,$59.78,12826950,$62.18,$62.43,$58.975
04/09/2025,$63.89,11990500,$59.62,$64.48,$58.545
04/08/2025,$59.75,9287024,$63.14,$63.565,$59.011
04/07/2025,$62.32,14908210,$60.43,$64.12,$60.3302
04/04/2025,$64.13,9977728,$66.74,$67.02,$63.905
04/03/2025,$69.77,7322295,$70.65,$71.12,$69.63
04/02/2025,$72.72,3600782,$72.395,$72.82,$71.88
04/01/2025,$73.05,3645504,$72.75,$73.12,$72.41
03/31/2025,$73.28,6126727,$72.43,$73.475,$72.41
03/28/2025,$72.73,6539155,$73.18,$73.22,$72.505
03/27/2025,$73.29,7774269,$72.90,$74.18,$72.69
03/26/2025,$73.03,8163168,$73.265,$73.805,$72.70
03/25/2025,$72.03,7373463,$72.63,$73.24,$71.84
03/24/2025,$71.28,4392195,$70.96,$71.355,$70.91
03/21/2025,$71.01,3756595,$71.38,$71.52,$70.77
03/20/2025,$71.95,3981937,$71.28,$72.05,$71.17
03/19/2025,$71.52,5026783,$71.48,$71.785,$71.2738
03/18/2025,$70.97,5306929,$70.41,$70.98,$70.12
03/17/2025,$70.10,5917752,$69.65,$70.165,$69.32
03/14/2025,$68.77,3572376,$67.87,$68.795,$67.71
03/13/2025,$67.74,8866538,$67.56,$68.19,$67.53
03/12/2025,$67.38,5156506,$66.26,$67.61,$66.20
03/11/2025,$66.81,4796329,$66.98,$67.395,$66.33
03/10/2025,$66.79,3789404,$66.93,$67.22,$66.24
03/07/2025,$66.79,4409986,$66.595,$67.065,$66.18
03/06/2025,$66.01,6581395,$65.25,$66.26,$65.25
03/05/2025,$66.10,5766021,$66.465,$66.60,$65.245
03/04/2025,$66.20,9111982,$65.485,$66.56,$65.07
03/03/2025,$66.46,6588422,$68.42,$68.53,$65.975
02/28/2025,$67.46,3989273,$66.705,$67.46,$66.38
02/27/2025,$67.27,4014574,$67.06,$67.88,$66.97
02/26/2025,$67.40,3444804,$67.13,$67.54,$66.70
02/25/2025,$66.90,3070540,$67.64,$67.67,$66.73
02/24/2025,$66.89,2888768,$66.96,$67.165,$66.485
02/21/2025,$66.70,3330231,$67.54,$67.57,$66.54
02/20/2025,$68.38,2806615,$67.96,$68.485,$67.7821
02/19/2025,$67.60,2428811,$67.79,$68.155,$67.44
02/18/2025,$67.82,3333484,$67.59,$68.095,$67.45
02/14/2025,$67.13,2934859,$67.84,$68.24,$67.10
02/13/2025,$67.37,2978435,$66.63,$67.575,$66.43
02/12/2025,$66.76,3067602,$66.95,$67.52,$66.545
02/11/2025,$67.38,3529541,$66.91,$67.715,$66.65
02/10/2025,$66.13,4059506,$65.74,$66.30,$65.74
02/07/2025,$65.89,4075314,$66.30,$66.44,$65.81
02/06/2025,$66.16,4125398,$66.86,$66.90,$65.815
02/05/2025,$66.53,3264989,$66.43,$66.74,$66.20
02/04/2025,$66.63,3579851,$65.18,$66.675,$65.18
02/03/2025,$65.17,4841684,$65.30,$65.77,$64.93
01/31/2025,$65.85,5424691,$67.07,$67.115,$65.69
01/30/2025,$66.65,6257910,$66.03,$66.95,$65.95
01/29/2025,$64.78,4246173,$64.44,$64.965,$64.39
01/28/2025,$64.58,3776182,$65.15,$65.30,$64.21
01/27/2025,$65.14,4245483,$65.30,$65.38,$64.67
01/24/2025,$65.39,4915895,$66.38,$66.455,$65.32
01/23/2025,$66.66,3588463,$66.70,$66.905,$66.38
01/22/2025,$65.95,4912864,$66.84,$66.84,$65.94
01/21/2025,$66.77,4715386,$66.95,$67.05,$66.57
01/17/2025,$66.72,3486314,$66.80,$67.28,$66.51
01/16/2025,$66.45,3622189,$66.19,$66.74,$66.125
01/15/2025,$66.36,3459781,$66.12,$66.48,$65.925
01/14/2025,$65.91,4228835,$65.20,$66.065,$65.10
01/13/2025,$64.96,3703069,$64.80,$65.3958,$64.77
01/10/2025,$64.94,4352054,$65.95,$66.13,$64.58
01/08/2025,$64.72,5750864,$63.89,$64.77,$63.81
01/07/2025,$65.93,5067591,$65.99,$66.275,$65.665
01/06/2025,$64.75,3840987,$64.82,$65.33,$64.61
01/03/2025,$64.52,5296222,$64.45,$64.71,$64.225
01/02/2025,$63.10,3859596,$62.98,$63.33,$62.80
12/31/2024,$62.65,2955803,$62.63,$62.795,$62.115
12/30/2024,$61.78,3706451,$61.94,$61.97,$61.56
12/27/2024,$61.69,3639761,$61.61,$62.115,$61.43
12/26/2024,$61.36,2288924,$61.48,$61.77,$61.325
12/24/2024,$61.44,1369651,$61.37,$61.635,$60.98
12/23/2024,$61.16,3300496,$60.63,$61.289,$60.485
12/20/2024,$60.64,4317494,$60.23,$61.0258,$60.145
12/19/2024,$60.78,5766796,$61.42,$61.54,$60.6136
12/18/2024,$60.63,5368474,$62.09,$62.29,$60.53
12/17/2024,$61.88,4892890,$61.74,$62.08,$61.59
12/16/2024,$62.15,4347912,$63.22,$63.231,$62.09
12/13/2024,$63.54,4470658,$63.96,$64.015,$63.44
12/12/2024,$64.00,3859369,$64.27,$64.635,$63.90
12/11/2024,$64.53,3481334,$64.36,$64.54,$63.79
12/10/2024,$64.38,3491490,$64.78,$64.85,$64.22
12/09/2024,$64.70,4651261,$64.75,$65.635,$64.62
12/06/2024,$63.25,5011472,$64.25,$64.28,$63.00
12/05/2024,$64.35,4866267,$64.32,$64.6191,$63.93
12/04/2024,$64.21,5089776,$65.59,$65.59,$64.09
12/03/2024,$65.28,3877213,$65.50,$65.57,$64.97
12/02/2024,$64.34,4055621,$64.67,$64.73,$63.815
